Track,Album Name,Artist,Release Date,Spotify Streams,Spotify Playlist Reach,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,AirPlay Spins,Amazon Playlist Count,Pandora Track Stations,Soundcloud Streams,Shazam Counts
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,"390,470,936","196,631,588","1,713,126","5,767,700","651,565,900","5,332,281,936","40,975",114.0,"22,931","4,818,457","2,669,262"
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,"323,703,884","174,597,137","3,486,739","674,700","35,223,547","208,339,025","40,778",111.0,"28,444","6,623,075","1,118,279"
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,"601,309,283","211,607,669","2,228,730","3,025,400","275,154,237","3,369,120,610","74,333",172.0,"5,639","7,208,651","5,285,340"
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,"90,676,573","184,199,419","988,682","325,800","121,574,500","974,656,200","3,823",92.0,842,"3,679,709","666,302"
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,"221,636,195","197,280,692","1,307,290","195,300","45,889,000","360,017,000","41,344",163.0,"1,219","1,313,357","450,344"
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,"395,433,400","177,932,568","2,484,083","139,300","25,348,800","207,317,000","129,968",134.0,"13,437","377,734","1,210,029"
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,"91,272,461","52,287,548","569,377","941,900","119,740,900","1,225,345,800",181,33.0,162,"975,891","257,661"
Espresso,Espresso,Sabrina Carpenter,2024-04-12,"547,882,871","262,343,414","1,825,761","209,200","169,144,295","1,379,499,000","37,208",149.0,"10,848","1,551,157","1,373,085"
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,"124,893,397","25,936,342","4,907,193","212,500","48,327,004","390,081,328","2,188",26.0,592,"265,670","191,867"
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,"214,237,645","202,626,837","251,373","251,200","71,078,500","443,104,700","3,400",125.0,"2,592","1,369,981","285,858"
Supernova,Supernova,aespa,2024-05-13,"69,729,033","21,046,278","1,724,693","56,600","61,038,623","393,973,528",709,14.0,100,"255,951","63,283"
Training Season,Training Season,Dua Lipa,2024-02-15,"251,153,869","92,985,554","961,957","102,884","34,572,688","431,390,500","180,711",116.0,"3,796","776,717","2,047,771"
Get It Sexyy,Get It Sexyy,Sexyy Red,2024-03-15,"89,362,910","70,714,216","525,264","361,700","71,058,620","476,545,000","52,534",58.0,"14,251","2,263,132","514,293"
Nasty,Nasty,Tinashe,2024-04-12,"31,612,906","106,475,497","171,470","535,464","171,691,158","1,051,026,401","1,638",69.0,"1,095","3,832,811","336,779"
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,2024-04-05,"176,290,078","157,502,211","140,562","61,889","45,660,069","263,955,300","16,680",122.0,"1,327","479,188","485,935"
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,"77,212,437","13,850,203","246,884",472,"301,528","1,423,956",238,32.0,318,"1,687,131","39,163"
Lose My Breath (Feat. Charlie Puth),Lose My Breath,Stray Kids,2024-05-10,"29,994,527","25,533,535","1,520,092","38,704","1,533,045","5,347,400","1,664",45.0,314,"119,216","69,265"
Fall Back,Fall Back / Selfish Game - Single,Lithe,2024-03-21,"78,227,549","34,967,691","346,316","1,827","366,700","5,400,000",604,36.0,"1,442","2,612,424","1,712,744"
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,"210,385,853","38,317,286","225,439","46,800","9,697,319","65,541,536","3,721",80.0,"4,341","166,934","84,774"
SORRY 4 THAT MUCH,SORRY 4 THAT MUCH,Feid,2024-06-07,"8,757,910","87,529,320","141,011","9,478","3,201,272","25,443,365",220,31.0,36,"18,913","57,091"
the boy is mine,eternal sunshine,Ariana Grande,2024-03-08,"175,336,290","79,812,251","1,448,800",225,"397,044","3,842,071","4,569",52.0,"1,313","873,706","209,987"
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,"66,101,468","9,878,576","117,031",180,"1,800,000","11,200,000",195,9.0,248,"685,021","52,008"
SC-9,SC-9,Yahir Saldivar,2024-02-01,"63,296,147","12,621,491","476,570","182,100","1,797,826","19,883,744",7,3.0,"2,959","24,008","472,289"
EMPELOTICA,EMPELOTICA,Lenny Tavï¿½ï¿,2024-02-22,"68,349,764","31,014,133","150,277","4,814","936,755","10,013,585","1,143",11.0,53,"11,448","134,177"
Kool-Aid,Kool-Aid,Bring Me The Horizon,2024-01-05,"49,756,092","10,502,401","340,925","5,352","214,666","4,372","3,566",22.0,472,"351,383","65,087"
