Track,Album Name,Artist,Release Date,Spotify Streams,YouTube Likes,TikTok Posts,Shazam Counts
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,2024-04-26,390470936,1713126,5767700,2669262
Not Like Us,Not Like Us,Kendrick Lamar,2024-05-04,323703884,3486739,674700,1118279
i like the way you kiss me,I like the way you kiss me,Artemas,2024-03-19,601309283,2228730,3025400,5285340
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,2031280633,10629796,7189811,11822942
Houdini,Houdini,Eminem,2024-05-31,107034922,3670188,16400,457017
Lovin On Me,Lovin On Me,Jack Harlow,2023-11-10,670665438,1392593,4202367,4517131
Gata Only,Gata Only,FloyyMenor,2024-02-02,675079153,1439495,3500000,6063523
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,90676573,988682,325800,666302
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,221636195,1307290,195300,450344
bathroom floor,bathroom floor,Kids With Buns,2022-10-07,297185,16785489,3,3288
LALA,LALA - Single,Myke Towers,2023-03-22,925655569,4294166,11054500,2765808
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,395433400,2484083,139300,1210029
greedy,greedy,Tate McRae,2023-09-14,1258569694,1514837,2294429,6973652
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,91272461,569377,941900,257661
As It Was,As It Was,Harry Styles,2022-03-31,3301814535,9101589,2755903,14967379
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,1065399331,2749668,3091732,7559816
Espresso,Espresso,Sabrina Carpenter,2024-04-12,547882871,1825761,209200,1373085
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,426700979,437980,1470500,2100708
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,7382759,69990,37621885,633525
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,720822868,48757673,7743800,2064420
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,124893397,4907193,212500,191867
Water,Water,Tyla,2023-07-28,670376179,2566846,2114363,6447136
Strangers,Strangers,Kenya Grace,2023-09-01,750154960,1495758,1031447,7477917
Lose Control,Lose Control,Teddy Swims,2023-06-23,775135157,1504385,396560,10517831
fukumean,fukumean,Gunna,2023-06-15,759998727,1222012,1237229,3945184
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,3071214106,27240268,10342366,44842636
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,214237645,251373,251200,285858
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,1658229422,4324989,728093,10973120
Daylight,Daylight,David Kushner,2023-04-14,1126820069,3701289,2557115,8681350
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,997702304,959175,3648759,2682219
Houdini,Houdini - Single,Dua Lipa,2023-11-09,493627071,1575378,93500,2389957
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,304929492,921044,13872768,2227494
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,1747093405,61799279,799338,19622551
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,2022-08-25,1391688322,8099187,599,3521951
Shape of You,Shape of You,Ed Sheeran,2017-01-06,3909458734,45770887,2270315,1146246
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,4281468720,10093211,2882064,28994660
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,2022-12-02,1337619917,2023998,423714,6205060
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,2022-09-22,1556275789,3364206,2379787,10192485
Supernova,Supernova,aespa,2024-05-13,69729033,1724693,56600,63283
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,1811990630,8870768,4506600,3393920
Calm Down,Calm Down,Rema,2022-02-10,584427088,8766235,6129450,22563407
Kill Bill,SOS,SZA,2022-12-08,1873746537,3153793,266430,4873832
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,2023-07-13,891720245,2761964,1443103,4476509
Heat Waves,Heat Waves,Glass Animals,2020-06-29,2996181078,14947520,1416295,17848778
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,2023-01-11,946941510,12951756,4210895,2237762
Old Town Road,Old Town Road,Lil Nas X,2019-03-14,1010494713,41487213,5757883,8856633
un x100to,un x100to,Grupo Frontera,2023-04-17,1008495696,4425283,796603,2283747
Sprinter,Sprinter - Single,Dave,2023-06-01,692512930,2332307,731797,3093667
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,169410711,997411,284,388625
TQG,TQG,KAROL G,2023-02-23,1024381758,8953293,457111,3488226
Pepas,Pepas,Farruko,2021-06-24,1500499584,11553088,2866181,17210946
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,2023-03-16,1215336974,3831236,5416,3435177
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,860026452,1640319,175536,3199636
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,2023-03-17,1032225805,3118229,1031612,2635577
redrum,american dream,21 Savage,2024-01-12,428233003,1762297,87200,2490071
Easy On Me,Easy On Me,Adele,2021-10-14,1720918065,13561925,1912194,7569155
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,2022-05-06,1514239759,9358441,1769068,5133847
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,2023-05-12,333202114,2084532,928132,4207535
Anti-Hero,Midnights,Taylor Swift,2022-10-21,1563224246,3482508,1302967,4703179
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,1692951462,8795731,1212100,6836893
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,2023-07-28,275349653,1553295,4349700,1245874
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2023-02-03,851085705,2461166,3502547,2580691
Snooze,SOS,SZA,2022-12-09,1013350808,2521214,402338,3129609
BELLAKEO,BELLAKEO,Peso Pluma,2023-12-07,359803580,1839225,720800,1002835
Agora Hills,Scarlet,Doja Cat,2023-09-22,509653100,986278,328562,4295361
